t=0: [[-1.030605, -0.630605], [0.029304, 0.429304]]
t=23: [[-0.928485, -0.528485], [-0.007168, 0.392832]]
t=26: [[-0.913472, -0.513472], [-0.011322, 0.388678]]
t=36: [[-0.869745, -0.469745], [-0.027150, 0.372850]]
t=37: [[-0.864721, -0.464721], [-0.029206, 0.370794]]
t=39: [[-0.857423, -0.457423], [-0.032961, 0.367039]]
t=42: [[-0.850247, -0.450247], [-0.038352, 0.361648]]
t=54: [[-0.806070, -0.406070], [-0.059916, 0.340084]]
t=60: [[-0.787536, -0.387536], [-0.076658, 0.323342]]
t=66: [[-0.767765, -0.367765], [-0.084089, 0.315911]]
t=69: [[-0.756771, -0.356771], [-0.088263, 0.311737]]
t=70: [[-0.752864, -0.352864], [-0.091387, 0.308613]]
t=74: [[-0.741211, -0.341211], [-0.100037, 0.299963]]
t=76: [[-0.735534, -0.335534], [-0.105550, 0.294450]]
t=104: [[-0.662215, -0.262215], [-0.161071, 0.238929]]
t=105: [[-0.659866, -0.259866], [-0.161546, 0.238454]]
t=111: [[-0.643312, -0.243312], [-0.169546, 0.230454]]
t=117: [[-0.628006, -0.228006], [-0.175583, 0.224417]]
t=126: [[-0.611688, -0.211688], [-0.186048, 0.213952]]
t=146: [[-0.572301, -0.172301], [-0.207864, 0.192136]]
t=156: [[-0.555648, -0.155648], [-0.223169, 0.176831]]
t=180: [[-0.521376, -0.121376], [-0.246039, 0.153961]]
t=217: [[-0.468587, -0.068587], [-0.278592, 0.121408]]
t=225: [[-0.459074, -0.059074], [-0.284935, 0.115065]]
t=228: [[-0.455827, -0.055827], [-0.283020, 0.116980]]
t=231: [[-0.446609, -0.046609], [-0.283620, 0.116380]]
t=234: [[-0.439996, -0.039996], [-0.284070, 0.115930]]
t=242: [[-0.437996, -0.037996], [-0.283302, 0.116698]]
t=247: [[-0.436262, -0.036262], [-0.284377, 0.115623]]
t=262: [[-0.422271, -0.022271], [-0.281610, 0.118390]]
t=271: [[-0.402905, -0.002905], [-0.278400, 0.121600]]
t=303: [[-0.359321, 0.040679], [-0.260743, 0.139257]]
t=305: [[-0.355886, 0.044114], [-0.257712, 0.142288]]
t=315: [[-0.344911, 0.055089], [-0.255608, 0.144392]]
t=345: [[-0.293337, 0.106663], [-0.221505, 0.178495]]
t=355: [[-0.278455, 0.121545], [-0.204201, 0.195799]]
t=362: [[-0.261104, 0.138896], [-0.193217, 0.206783]]
t=370: [[-0.239044, 0.160956], [-0.181919, 0.218081]]
t=385: [[-0.207516, 0.192484], [-0.147866, 0.252134]]
t=389: [[-0.197295, 0.202705], [-0.138221, 0.261779]]
t=395: [[-0.177164, 0.222836], [-0.125494, 0.274506]]
t=396: [[-0.175564, 0.224436], [-0.125348, 0.274652]]
t=406: [[-0.144823, 0.255177], [-0.097750, 0.302250]]
t=420: [[-0.100466, 0.299534], [-0.062574, 0.337426]]
t=425: [[-0.076015, 0.323985], [-0.047775, 0.352225]]
t=431: [[-0.053800, 0.346200], [-0.030487, 0.369513]]
t=432: [[-0.049574, 0.350426], [-0.028766, 0.371234]]
t=462: [[0.082053, 0.482053], [0.081118, 0.481118]]
t=474: [[0.139559, 0.539559], [0.128763, 0.528763]]
t=485: [[0.201291, 0.601291], [0.176118, 0.576118]]
t=488: [[0.219188, 0.619188], [0.188021, 0.588021]]
t=514: [[0.387655, 0.787655], [0.318313, 0.718313]]
t=526: [[0.482660, 0.882660], [0.382421, 0.782421]]
t=539: [[0.591103, 0.991103], [0.436550, 0.836550]]
t=544: [[0.633122, 1.033122], [0.452057, 0.852057]]
t=546: [[0.651309, 1.051309], [0.456780, 0.856780]]
t=556: [[0.739167, 1.139167], [0.483417, 0.883417]]
t=568: [[0.846371, 1.246371], [0.496371, 0.896371]]
t=571: [[0.874112, 1.274112], [0.496199, 0.896199]]
t=577: [[0.932725, 1.332725], [0.487187, 0.887187]]
t=583: [[0.985665, 1.385665], [0.465813, 0.865813]]
t=586: [[1.010691, 1.410691], [0.453569, 0.853569]]
t=587: [[1.019916, 1.419916], [0.450330, 0.850330]]
t=600: [[1.126127, 1.526127], [0.350887, 0.750887]]
t=605: [[1.168762, 1.568762], [0.302396, 0.702396]]
t=625: [[1.285895, 1.685895], [0.025217, 0.425217]]
t=626: [[1.290461, 1.690461], [0.008925, 0.408925]]
t=638: [[1.327836, 1.727836], [-0.206341, 0.193659]]
t=652: [[1.345969, 1.745969], [-0.477413, -0.077413]]
t=663: [[1.330142, 1.730142], [-0.673166, -0.273166]]
t=674: [[1.296123, 1.696123], [-0.856265, -0.456265]]
t=682: [[1.256180, 1.656180], [-0.971515, -0.571515]]
t=683: [[1.249631, 1.649631], [-0.985240, -0.585240]]
t=691: [[1.200457, 1.600457], [-1.081298, -0.681298]]
t=692: [[1.194650, 1.594650], [-1.090229, -0.690229]]
t=694: [[1.180598, 1.580598], [-1.108694, -0.708694]]
t=704: [[1.108596, 1.508596], [-1.179059, -0.779059]]
t=715: [[1.014656, 1.414656], [-1.221280, -0.821280]]
t=718: [[0.990185, 1.390185], [-1.221063, -0.821063]]
t=722: [[0.959666, 1.359666], [-1.223722, -0.823722]]
t=744: [[0.780041, 1.180041], [-1.172492, -0.772492]]
t=749: [[0.740814, 1.140814], [-1.148049, -0.748049]]
t=754: [[0.704548, 1.104548], [-1.125957, -0.725957]]
t=762: [[0.649660, 1.049660], [-1.081374, -0.681374]]
t=780: [[0.533401, 0.933401], [-0.963041, -0.563041]]
t=794: [[0.462577, 0.862577], [-0.858060, -0.458060]]
t=798: [[0.441598, 0.841598], [-0.830244, -0.430244]]
t=805: [[0.413406, 0.813406], [-0.775844, -0.375844]]
t=826: [[0.352158, 0.752158], [-0.631653, -0.231653]]
t=827: [[0.348147, 0.748147], [-0.625734, -0.225734]]
t=838: [[0.326382, 0.726382], [-0.550533, -0.150533]]
t=840: [[0.323503, 0.723503], [-0.535982, -0.135982]]
t=862: [[0.312245, 0.712245], [-0.396565, 0.003435]]
t=877: [[0.319607, 0.719607], [-0.305190, 0.094810]]
t=878: [[0.319644, 0.719644], [-0.300243, 0.099757]]
t=890: [[0.342611, 0.742611], [-0.229758, 0.170242]]
t=895: [[0.348021, 0.748021], [-0.200314, 0.199686]]
t=896: [[0.349773, 0.749773], [-0.193760, 0.206240]]
t=897: [[0.351546, 0.751546], [-0.188852, 0.211148]]
t=900: [[0.355843, 0.755843], [-0.171539, 0.228461]]
t=901: [[0.357520, 0.757520], [-0.164778, 0.235222]]
t=903: [[0.365243, 0.765243], [-0.152370, 0.247630]]
t=911: [[0.381750, 0.781750], [-0.108639, 0.291361]]
t=922: [[0.419038, 0.819038], [-0.048575, 0.351425]]
t=932: [[0.455517, 0.855517], [0.014472, 0.414472]]
t=942: [[0.497663, 0.897663], [0.073718, 0.473718]]
t=953: [[0.554668, 0.954668], [0.128834, 0.528834]]
t=960: [[0.594762, 0.994762], [0.159770, 0.559770]]
t=961: [[0.598970, 0.998970], [0.164015, 0.564015]]
t=975: [[0.678712, 1.078712], [0.212931, 0.612931]]
t=978: [[0.695226, 1.095226], [0.222291, 0.622291]]
t=987: [[0.747373, 1.147373], [0.242073, 0.642073]]
t=994: [[0.788735, 1.188735], [0.253131, 0.653131]]
t=1006: [[0.873440, 1.273440], [0.257946, 0.657946]]
t=1017: [[0.948461, 1.348461], [0.235780, 0.635780]]
t=1019: [[0.960896, 1.360896], [0.233196, 0.633196]]
t=1022: [[0.979394, 1.379394], [0.221848, 0.621848]]
t=1024: [[0.989720, 1.389720], [0.214108, 0.614108]]
t=1037: [[1.062183, 1.462183], [0.140566, 0.540566]]
t=1038: [[1.067057, 1.467057], [0.133117, 0.533117]]
t=1046: [[1.105750, 1.505750], [0.073576, 0.473576]]
t=1060: [[1.166370, 1.566370], [-0.052158, 0.347842]]
t=1063: [[1.178925, 1.578925], [-0.085710, 0.314290]]
t=1105: [[1.219984, 1.619984], [-0.589396, -0.189396]]
t=1106: [[1.216301, 1.616301], [-0.599139, -0.199139]]
t=1111: [[1.205965, 1.605965], [-0.653398, -0.253398]]
t=1112: [[1.205336, 1.605336], [-0.663871, -0.263871]]
t=1113: [[1.201637, 1.601637], [-0.673013, -0.273013]]
t=1114: [[1.197538, 1.597538], [-0.684418, -0.284418]]
t=1128: [[1.144664, 1.544664], [-0.809771, -0.409771]]
t=1130: [[1.137284, 1.537284], [-0.826839, -0.426839]]
t=1145: [[1.074867, 1.474867], [-0.915877, -0.515877]]
t=1149: [[1.057246, 1.457246], [-0.929813, -0.529813]]
t=1168: [[0.954516, 1.354516], [-0.971351, -0.571351]]
t=1170: [[0.942329, 1.342329], [-0.971558, -0.571558]]
t=1175: [[0.916539, 1.316539], [-0.970134, -0.570134]]
t=1184: [[0.868372, 1.268372], [-0.958194, -0.558194]]
t=1189: [[0.837582, 1.237582], [-0.939731, -0.539731]]
t=1191: [[0.828991, 1.228991], [-0.933180, -0.533180]]
t=1202: [[0.770893, 1.170893], [-0.904861, -0.504861]]
t=1203: [[0.765414, 1.165414], [-0.900742, -0.500742]]
t=1205: [[0.755375, 1.155375], [-0.890634, -0.490634]]
t=1206: [[0.749281, 1.149281], [-0.885852, -0.485852]]
t=1226: [[0.661377, 1.061377], [-0.792654, -0.392654]]
t=1227: [[0.656242, 1.056242], [-0.787954, -0.387954]]
t=1241: [[0.617607, 1.017607], [-0.715249, -0.315249]]
t=1246: [[0.604591, 1.004591], [-0.685651, -0.285651]]
t=1249: [[0.597504, 0.997504], [-0.672923, -0.272923]]
t=1250: [[0.596148, 0.996148], [-0.668510, -0.268510]]
t=1252: [[0.594089, 0.994089], [-0.656620, -0.256620]]
t=1256: [[0.586764, 0.986764], [-0.634768, -0.234768]]
t=1259: [[0.580239, 0.980239], [-0.617555, -0.217555]]
t=1273: [[0.558437, 0.958437], [-0.521473, -0.121473]]
t=1277: [[0.554755, 0.954755], [-0.496198, -0.096198]]
t=1284: [[0.549935, 0.949935], [-0.454912, -0.054912]]
t=1285: [[0.548285, 0.948285], [-0.449927, -0.049927]]
t=1290: [[0.546197, 0.946197], [-0.418666, -0.018666]]
t=1300: [[0.543744, 0.943744], [-0.362305, 0.037695]]
t=1302: [[0.545178, 0.945178], [-0.351317, 0.048683]]
t=1305: [[0.546042, 0.946042], [-0.334511, 0.065489]]
t=1308: [[0.549930, 0.949930], [-0.317427, 0.082573]]
t=1317: [[0.557988, 0.957988], [-0.272809, 0.127191]]
t=1355: [[0.641616, 1.041616], [-0.091178, 0.308822]]
t=1368: [[0.676909, 1.076909], [-0.038825, 0.361175]]
t=1371: [[0.687467, 1.087467], [-0.027487, 0.372513]]
t=1389: [[0.772817, 1.172817], [0.026084, 0.426084]]
t=1432: [[0.953275, 1.353275], [0.037158, 0.437158]]
t=1434: [[0.961925, 1.361925], [0.029569, 0.429569]]
t=1438: [[0.980664, 1.380664], [0.019427, 0.419427]]
t=1480: [[1.115244, 1.515244], [-0.217730, 0.182270]]
t=1490: [[1.131896, 1.531896], [-0.303218, 0.096782]]
t=1498: [[1.140986, 1.540986], [-0.368556, 0.031444]]
t=1499: [[1.142186, 1.542186], [-0.375408, 0.024592]]
t=1508: [[1.137195, 1.537195], [-0.450001, -0.050001]]
t=1517: [[1.129646, 1.529646], [-0.515248, -0.115248]]
t=1525: [[1.124665, 1.524665], [-0.567713, -0.167713]]
t=1528: [[1.118040, 1.518040], [-0.592849, -0.192849]]
t=1543: [[1.084190, 1.484190], [-0.693381, -0.293381]]
t=1568: [[0.995660, 1.395660], [-0.791523, -0.391523]]
t=1621: [[0.792865, 1.192865], [-0.731903, -0.331903]]
t=1624: [[0.784602, 1.184602], [-0.721503, -0.321503]]
t=1650: [[0.709360, 1.109360], [-0.616450, -0.216450]]
t=1661: [[0.689081, 1.089081], [-0.568187, -0.168187]]
t=1662: [[0.688671, 1.088671], [-0.564120, -0.164120]]
t=1665: [[0.684967, 1.084967], [-0.547803, -0.147803]]
t=1670: [[0.676817, 1.076817], [-0.522297, -0.122297]]
t=1671: [[0.676151, 1.076151], [-0.516169, -0.116169]]
t=1674: [[0.674805, 1.074805], [-0.502854, -0.102854]]
t=1678: [[0.669808, 1.069808], [-0.482999, -0.082999]]
t=1681: [[0.668601, 1.068601], [-0.471500, -0.071500]]
t=1687: [[0.662002, 1.062002], [-0.440861, -0.040861]]
t=1692: [[0.665234, 1.065234], [-0.416699, -0.016699]]
t=1699: [[0.665991, 1.065991], [-0.381885, 0.018115]]
t=1701: [[0.666965, 1.066965], [-0.371581, 0.028419]]
t=1704: [[0.668477, 1.068477], [-0.358736, 0.041264]]
t=1713: [[0.672840, 1.072840], [-0.312094, 0.087906]]
t=1721: [[0.682793, 1.082793], [-0.276033, 0.123967]]
t=1727: [[0.686802, 1.086802], [-0.251664, 0.148336]]
t=1732: [[0.694049, 1.094049], [-0.231854, 0.168146]]
t=1735: [[0.697576, 1.097576], [-0.220408, 0.179592]]
t=1742: [[0.710248, 1.110248], [-0.194923, 0.205077]]
t=1750: [[0.727169, 1.127169], [-0.170545, 0.229455]]
t=1751: [[0.727857, 1.127857], [-0.166427, 0.233573]]
t=1775: [[0.789024, 1.189024], [-0.096779, 0.303221]]
t=1776: [[0.792842, 1.192842], [-0.093894, 0.306106]]
t=1804: [[0.884321, 1.284321], [-0.070905, 0.329095]]
t=1806: [[0.889208, 1.289208], [-0.071824, 0.328176]]
t=1807: [[0.893587, 1.293587], [-0.071429, 0.328571]]
t=1813: [[0.911716, 1.311716], [-0.077377, 0.322623]]
t=1817: [[0.927744, 1.327744], [-0.085420, 0.314580]]
t=1824: [[0.951418, 1.351418], [-0.100426, 0.299574]]
t=1851: [[1.014629, 1.414629], [-0.179678, 0.220322]]
t=1868: [[1.043237, 1.443237], [-0.254906, 0.145094]]
t=1883: [[1.058983, 1.458983], [-0.329337, 0.070663]]
t=1888: [[1.062626, 1.462626], [-0.354138, 0.045862]]
t=1892: [[1.066942, 1.466942], [-0.373546, 0.026454]]
t=1893: [[1.066190, 1.466190], [-0.380826, 0.019174]]
t=1897: [[1.064839, 1.464839], [-0.402721, -0.002721]]
t=1916: [[1.059818, 1.459818], [-0.489037, -0.089037]]
t=1917: [[1.057161, 1.457161], [-0.494704, -0.094704]]
t=1940: [[1.023483, 1.423483], [-0.591973, -0.191973]]
t=1945: [[1.014135, 1.414135], [-0.605404, -0.205404]]
t=1948: [[1.008058, 1.408058], [-0.614001, -0.214001]]
t=1959: [[0.977508, 1.377508], [-0.636680, -0.236680]]
t=1960: [[0.975929, 1.375929], [-0.639152, -0.239152]]
t=1962: [[0.969773, 1.369773], [-0.643625, -0.243625]]
t=1969: [[0.954523, 1.354523], [-0.652021, -0.252021]]
t=1973: [[0.942383, 1.342383], [-0.651047, -0.251047]]
t=1974: [[0.940673, 1.340673], [-0.650658, -0.250658]]
t=1977: [[0.931101, 1.331101], [-0.654071, -0.254071]]
t=1985: [[0.910933, 1.310933], [-0.659330, -0.259330]]
