t=0: [[0.851223, 0.891223], [0.847912, 0.887912]]
t=21: [[0.628288, 0.668288], [1.134923, 1.174923]]
t=34: [[0.498403, 0.538403], [1.224045, 1.264045]]
t=44: [[0.406335, 0.446335], [1.257092, 1.297092]]
t=48: [[0.369242, 0.409242], [1.259650, 1.299650]]
t=52: [[0.335467, 0.375467], [1.257076, 1.297076]]
t=58: [[0.287357, 0.327357], [1.248299, 1.288299]]
t=64: [[0.240283, 0.280283], [1.230806, 1.270806]]
t=69: [[0.204164, 0.244164], [1.211614, 1.251614]]
t=79: [[0.136952, 0.176952], [1.158481, 1.198481]]
t=84: [[0.106100, 0.146100], [1.126700, 1.166700]]
t=87: [[0.087404, 0.127404], [1.107203, 1.147203]]
t=89: [[0.077305, 0.117305], [1.093866, 1.133866]]
t=100: [[0.027040, 0.067040], [1.009419, 1.049419]]
t=102: [[0.018085, 0.058085], [0.993252, 1.033252]]
t=106: [[0.004070, 0.044070], [0.962469, 1.002469]]
t=111: [[-0.013861, 0.026139], [0.921099, 0.961099]]
t=124: [[-0.049352, -0.009352], [0.812394, 0.852394]]
t=126: [[-0.055216, -0.015216], [0.795834, 0.835834]]
t=158: [[-0.082958, -0.042958], [0.556656, 0.596656]]
t=186: [[-0.055629, -0.015629], [0.400859, 0.440859]]
t=220: [[0.022000, 0.062000], [0.311194, 0.351194]]
t=221: [[0.025551, 0.065551], [0.309517, 0.349517]]
t=225: [[0.035779, 0.075779], [0.305255, 0.345255]]
t=254: [[0.102923, 0.142923], [0.316154, 0.356154]]
t=265: [[0.129841, 0.169841], [0.336803, 0.376803]]
t=267: [[0.133801, 0.173801], [0.341233, 0.381233]]
t=278: [[0.154275, 0.194275], [0.368771, 0.408771]]
t=314: [[0.192445, 0.232445], [0.473338, 0.513338]]
t=321: [[0.196890, 0.236890], [0.490234, 0.530234]]
t=339: [[0.195021, 0.235021], [0.530282, 0.570282]]
t=344: [[0.192585, 0.232585], [0.540067, 0.580067]]
t=359: [[0.189651, 0.229651], [0.566212, 0.606212]]
t=370: [[0.182505, 0.222505], [0.581745, 0.621745]]
t=375: [[0.178860, 0.218860], [0.587260, 0.627260]]
t=383: [[0.171005, 0.211005], [0.591201, 0.631201]]
t=384: [[0.169786, 0.209786], [0.591689, 0.631689]]
t=388: [[0.167838, 0.207838], [0.593661, 0.633661]]
t=405: [[0.155189, 0.195189], [0.600649, 0.640649]]
t=423: [[0.139401, 0.179401], [0.600035, 0.640035]]
t=437: [[0.132189, 0.172189], [0.593494, 0.633494]]
t=441: [[0.131037, 0.171037], [0.590367, 0.630367]]
t=443: [[0.130010, 0.170010], [0.588419, 0.628419]]
t=453: [[0.124280, 0.164280], [0.582451, 0.622451]]
t=454: [[0.123928, 0.163928], [0.581994, 0.621994]]
t=465: [[0.118679, 0.158679], [0.576418, 0.616418]]
t=481: [[0.116467, 0.156467], [0.566313, 0.606313]]
t=483: [[0.116813, 0.156813], [0.564049, 0.604049]]
t=485: [[0.115479, 0.155479], [0.560826, 0.600826]]
t=495: [[0.116181, 0.156181], [0.553017, 0.593017]]
t=501: [[0.115253, 0.155253], [0.548736, 0.588736]]
t=522: [[0.115069, 0.155069], [0.537898, 0.577898]]
t=553: [[0.120374, 0.160374], [0.530027, 0.570027]]
t=557: [[0.124570, 0.164570], [0.530254, 0.570254]]
t=559: [[0.125309, 0.165309], [0.529852, 0.569852]]
t=562: [[0.125629, 0.165629], [0.530125, 0.570125]]
t=563: [[0.126174, 0.166174], [0.529078, 0.569078]]
t=565: [[0.126886, 0.166886], [0.529405, 0.569405]]
t=571: [[0.128703, 0.168703], [0.529233, 0.569233]]
t=576: [[0.129131, 0.169131], [0.526732, 0.566732]]
t=580: [[0.129440, 0.169440], [0.525530, 0.565530]]
t=582: [[0.129704, 0.169704], [0.526285, 0.566285]]
t=618: [[0.139538, 0.179538], [0.530778, 0.570778]]
t=636: [[0.142425, 0.182425], [0.533963, 0.573963]]
t=658: [[0.141897, 0.181897], [0.541540, 0.581540]]
t=662: [[0.142551, 0.182551], [0.544788, 0.584788]]
t=663: [[0.142736, 0.182736], [0.544258, 0.584258]]
t=675: [[0.142706, 0.182706], [0.547351, 0.587351]]
t=678: [[0.140763, 0.180763], [0.547466, 0.587466]]
t=683: [[0.141119, 0.181119], [0.546758, 0.586758]]
t=690: [[0.140721, 0.180721], [0.549220, 0.589220]]
t=703: [[0.140578, 0.180578], [0.551587, 0.591587]]
t=717: [[0.141312, 0.181312], [0.551350, 0.591350]]
t=719: [[0.140172, 0.180172], [0.551380, 0.591380]]
t=730: [[0.140911, 0.180911], [0.554911, 0.594911]]
t=737: [[0.141471, 0.181471], [0.558046, 0.598046]]
t=742: [[0.140144, 0.180144], [0.560942, 0.600942]]
t=749: [[0.139300, 0.179300], [0.562368, 0.602368]]
t=780: [[0.137097, 0.177097], [0.558751, 0.598751]]
t=785: [[0.136673, 0.176673], [0.558409, 0.598409]]
t=789: [[0.136385, 0.176385], [0.558343, 0.598343]]
