t=0: [[1.336428, 1.376428], [2.274070, 2.314070]]
t=5: [[1.451911, 1.491911], [2.100806, 2.140806]]
t=28: [[1.851553, 1.891553], [1.061501, 1.101501]]
t=53: [[2.029288, 2.069288], [0.163157, 0.203157]]
t=64: [[2.052572, 2.092572], [-0.077174, -0.037174]]
t=67: [[2.051327, 2.091327], [-0.129698, -0.089698]]
t=75: [[2.046267, 2.086267], [-0.242710, -0.202710]]
t=77: [[2.042654, 2.082654], [-0.267322, -0.227322]]
t=84: [[2.030185, 2.070185], [-0.343109, -0.303109]]
t=93: [[2.005969, 2.045969], [-0.413449, -0.373449]]
t=122: [[1.895642, 1.935642], [-0.565843, -0.525843]]
t=125: [[1.882924, 1.922924], [-0.578544, -0.538544]]
t=128: [[1.869484, 1.909484], [-0.587641, -0.547641]]
t=152: [[1.753709, 1.793709], [-0.659122, -0.619122]]
t=185: [[1.563492, 1.603492], [-0.763885, -0.723885]]
t=200: [[1.467670, 1.507670], [-0.817655, -0.777655]]
t=227: [[1.264477, 1.304477], [-0.948142, -0.908142]]
t=249: [[1.069110, 1.109110], [-1.099224, -1.059224]]
t=275: [[0.786438, 0.826438], [-1.345924, -1.305924]]
t=300: [[0.442134, 0.482134], [-1.695556, -1.655556]]
t=306: [[0.344495, 0.384495], [-1.799213, -1.759213]]
t=334: [[-0.192744, -0.152744], [-2.357585, -2.317585]]
t=349: [[-0.551399, -0.511399], [-2.616470, -2.576470]]
t=394: [[-1.612249, -1.572249], [-1.867421, -1.827421]]
t=395: [[-1.630704, -1.590704], [-1.822299, -1.782299]]
t=427: [[-1.952312, -1.912312], [-0.460277, -0.420277]]
t=451: [[-1.958924, -1.918924], [0.114749, 0.154749]]
t=458: [[-1.940412, -1.900412], [0.224023, 0.264023]]
t=468: [[-1.903317, -1.863317], [0.345080, 0.385080]]
t=490: [[-1.776647, -1.736647], [0.534574, 0.574574]]
t=497: [[-1.728191, -1.688191], [0.581725, 0.621725]]
t=523: [[-1.530795, -1.490795], [0.745237, 0.785237]]
t=595: [[-0.703168, -0.663168], [1.438903, 1.478903]]
t=627: [[-0.120738, -0.080738], [2.058178, 2.098178]]
t=641: [[0.206481, 0.246481], [2.372059, 2.412059]]
t=683: [[1.342302, 1.382302], [2.400303, 2.440303]]
t=711: [[1.884305, 1.924305], [1.114957, 1.154957]]
t=727: [[2.026146, 2.066146], [0.444579, 0.484579]]
t=728: [[2.030851, 2.070851], [0.409533, 0.449533]]
t=733: [[2.054727, 2.094727], [0.252928, 0.292928]]
t=744: [[2.081140, 2.121140], [-0.019530, 0.020470]]
t=750: [[2.082509, 2.122509], [-0.130331, -0.090331]]
t=814: [[1.887052, 1.927052], [-0.587990, -0.547990]]
t=820: [[1.859235, 1.899235], [-0.609094, -0.569094]]
t=821: [[1.855143, 1.895143], [-0.612888, -0.572888]]
t=838: [[1.768996, 1.808996], [-0.662134, -0.622134]]
t=843: [[1.739187, 1.779187], [-0.676603, -0.636603]]
t=854: [[1.676549, 1.716549], [-0.710200, -0.670200]]
t=900: [[1.368590, 1.408590], [-0.882620, -0.842620]]
t=913: [[1.266155, 1.306155], [-0.949706, -0.909706]]
t=928: [[1.131884, 1.171884], [-1.045882, -1.005882]]
t=938: [[1.031001, 1.071001], [-1.122451, -1.082451]]
t=955: [[0.850562, 0.890562], [-1.283946, -1.243946]]
t=975: [[0.596903, 0.636903], [-1.534459, -1.494459]]
t=976: [[0.582851, 0.622851], [-1.549945, -1.509945]]
t=1021: [[-0.235745, -0.195745], [-2.391552, -2.351552]]
t=1024: [[-0.305207, -0.265207], [-2.450145, -2.410145]]
t=1041: [[-0.721478, -0.681478], [-2.681551, -2.641551]]
t=1061: [[-1.226861, -1.186861], [-2.525089, -2.485089]]
t=1067: [[-1.368729, -1.328729], [-2.354981, -2.314981]]
t=1084: [[-1.693273, -1.653273], [-1.650352, -1.610352]]
t=1139: [[-1.950081, -1.910081], [0.162579, 0.202579]]
t=1183: [[-1.716436, -1.676436], [0.590575, 0.630575]]
t=1191: [[-1.658478, -1.618478], [0.644750, 0.684750]]
t=1202: [[-1.568446, -1.528446], [0.714753, 0.754753]]
t=1222: [[-1.386913, -1.346913], [0.845047, 0.885047]]
t=1253: [[-1.053020, -1.013020], [1.113230, 1.153230]]
t=1264: [[-0.911761, -0.871761], [1.238980, 1.278980]]
t=1265: [[-0.899027, -0.859027], [1.252271, 1.292271]]
t=1293: [[-0.457173, -0.417173], [1.691868, 1.731868]]
t=1320: [[0.104428, 0.144428], [2.271054, 2.311054]]
t=1371: [[1.455456, 1.495456], [2.214373, 2.254373]]
